"y_variable","x_variable","Term","Estimate","Lower","Upper"
"ipd_obese_bmi","income","income75k+",0.782611521754215,0.706523686026754,0.866893504203418
"ipd_obese_wc","race","(Intercept)",0.534319958930254,0.501914854151789,0.56881723294224
"ipd_obese_wc","race","raceBlack",0.819890916749053,0.742069055230193,0.905874070114776
"ipd_obese_wc","race","raceAsian",0.646287591508212,0.569961825918305,0.732834431963089
"ipd_obese_wc","race","raceHispanic",1.23392686881252,1.12670800227283,1.35134880954612
"ipd_obese_wc","sex","(Intercept)",0.566961954953826,0.539440999934242,0.595886961510616
"ipd_obese_wc","sex","sexFemale",0.801437651078467,0.746183984794214,0.860782758213857
"ipd_obese_wc","age","(Intercept)",0.364661400335296,0.342799009365454,0.38791808978868
"ipd_obese_wc","age","age20_39",1.3619602604564,1.24576568300663,1.48899249382565
"ipd_obese_wc","age","age40_59",2.09578207257052,1.91942813130744,2.28833912771515
"ipd_obese_wc","smoke","(Intercept)",0.327255662843059,0.29740367096025,0.360104058289058
"ipd_obese_wc","smoke","smokePast",2.13931960558327,1.85456553144811,2.46779544708744
"ipd_obese_wc","smoke","smokeSmoker",1.68611998777077,1.47475523827343,1.92777793858766
"ipd_obese_wc","edu","(Intercept)",0.553056242228383,0.497052920920664,0.615369499290399
"ipd_obese_wc","edu","eduHighSchool",1.27294449886976,1.10420247849618,1.46747333823195
"ipd_obese_wc","edu","eduSomeCollege",1.25557211990609,1.1009175381409,1.43195225225279
"ipd_obese_wc","edu","eduCollegePlus",0.921389572919771,0.802306557336459,1.05814758376611
"ipd_obese_wc","income","(Intercept)",0.537733159627871,0.505885883808944,0.571585332222036
"ipd_obese_wc","income","income35k_75k",1.04612943293685,0.95625294750365,1.14445324672069
"ipd_obese_wc","income","income75k+",0.784088225403925,0.707703824381086,0.868717002843296
